time,gFx,gFy,gFz,TgF
16:39:36:226,0.9604,-0.0115,0.2494,0.992
16:39:36:230,0.9592,-0.0101,0.2535,0.992
16:39:36:236,0.9575,-0.0084,0.2589,0.992
16:39:36:240,0.9570,-0.0074,0.2633,0.993
16:39:36:252,0.9565,-0.0074,0.2665,0.993
16:39:36:254,0.9563,-0.0079,0.2677,0.993
16:39:36:256,0.9563,-0.0086,0.2667,0.993
16:39:36:275,0.9563,-0.0091,0.2643,0.992
16:39:36:277,0.9555,-0.0081,0.2606,0.990
16:39:36:277,0.9553,-0.0076,0.2591,0.990
16:39:36:278,0.9546,-0.0067,0.2613,0.990
16:39:36:280,0.9558,-0.0067,0.2626,0.991
16:39:36:285,0.9582,-0.0081,0.2616,0.993
16:39:36:290,0.9592,-0.0103,0.2599,0.994
16:39:36:296,0.9590,-0.0123,0.2586,0.993
16:39:36:301,0.9587,-0.0128,0.2557,0.992
16:39:36:305,0.9592,-0.0115,0.2535,0.992
16:39:36:311,0.9590,-0.0118,0.2513,0.991
16:39:36:316,0.9587,-0.0120,0.2491,0.991
16:39:36:320,0.9587,-0.0111,0.2476,0.990
16:39:36:334,0.9585,-0.0103,0.2469,0.990
16:39:36:335,0.9585,-0.0096,0.2489,0.990
16:39:36:336,0.9580,-0.0086,0.2520,0.991
16:39:36:340,0.9580,-0.0091,0.2542,0.991
16:39:36:351,0.9585,-0.0103,0.2562,0.992
16:39:36:353,0.9580,-0.0106,0.2582,0.992
16:39:36:356,0.9585,-0.0101,0.2589,0.993
16:39:36:360,0.9580,-0.0106,0.2584,0.992
16:39:36:365,0.9590,-0.0103,0.2557,0.993
16:39:36:370,0.9607,-0.0111,0.2503,0.993
16:39:36:376,0.9607,-0.0108,0.2435,0.991
16:39:36:381,0.9599,-0.0091,0.2403,0.990
16:39:36:385,0.9594,-0.0086,0.2413,0.989
16:39:36:390,0.9577,-0.0076,0.2445,0.988
16:39:36:397,0.9565,-0.0069,0.2484,0.988
16:39:36:401,0.9563,-0.0062,0.2530,0.989
16:39:36:406,0.9553,-0.0052,0.2584,0.990
16:39:36:410,0.9546,-0.0045,0.2628,0.990
16:39:36:416,0.9546,-0.0047,0.2662,0.991
16:39:36:421,0.9560,-0.0049,0.2677,0.993
16:39:36:434,0.9570,-0.0049,0.2677,0.994
16:39:36:435,0.9572,-0.0045,0.2652,0.993
16:39:36:436,0.9553,-0.0042,0.2604,0.990
16:39:36:454,0.9541,-0.0047,0.2567,0.988
16:39:36:456,0.9536,-0.0064,0.2555,0.987
16:39:36:458,0.9541,-0.0081,0.2547,0.988
16:39:36:458,0.9546,-0.0106,0.2538,0.988
16:39:36:462,0.9555,-0.0118,0.2542,0.989
16:39:36:466,0.9553,-0.0130,0.2545,0.989
16:39:36:471,0.9548,-0.0128,0.2538,0.988
16:39:36:478,0.9553,-0.0128,0.2535,0.988
16:39:36:481,0.9560,-0.0128,0.2530,0.989
16:39:36:486,0.9570,-0.0130,0.2540,0.990
16:39:36:492,0.9577,-0.0135,0.2547,0.991
16:39:36:497,0.9582,-0.0133,0.2564,0.992
